810862 - Vitor Lucio de Oliveira

Guia 04-1)

a.) x . ( y+z' )'

    x | y | z | x'| y'| z' | y+z' | ( y+z' )'|   x . ( y+z' )'
	0 |	0 |	0 | 1 | 1 | 1  |  1   |   0      |      0
	0 | 0 |	1 | 1 | 1 | 0  |  0   |   1      |      0
	0 |	1 |	0 | 1 | 0 | 1  |  1   |   0      |      0
	0 | 1 |	1 | 1 | 0 | 0  |  1   |   0      |      0
	1 |	0 |	0 | 0 | 1 | 1  |  1   |   0      |      0
	1 |	0 |	1 | 0 | 1 | 0  |  0   |   1      |      1
	1 |	1 |	0 | 0 | 0 | 1  |  1   |   0      |      0
	1 |	1 |	1 | 0 | 0 | 0  |  1   |   0      |      0
		

b.) ( x+y' )' . z'

    x | y | z | x'| y'| z' | x+y' | ( x+y' )'|  ( x+y' )' . z'
	0 |	0 |	0 | 1 | 1 | 1  |  1   |   0      |      0
	0 | 0 |	1 | 1 | 1 | 0  |  1   |   0      |      0
	0 |	1 |	0 | 1 | 0 | 1  |  0   |   1      |      1
	0 | 1 |	1 | 1 | 0 | 0  |  0   |   1      |      0
	1 |	0 |	0 | 0 | 1 | 1  |  1   |   0      |      0
	1 |	0 |	1 | 0 | 1 | 0  |  1   |   0      |      0
	1 |	1 |	0 | 0 | 0 | 1  |  1   |   0      |      0
	1 |	1 |	1 | 0 | 0 | 0  |  1   |   0      |      0

c.) ( x.y' )' . z

    x | y | z | x'| y'| z' | x.y' |( x.y' )' |   ( x.y' )' . z
	0 |	0 |	0 | 1 | 1 | 1  |  0   |    1     |      0
	0 | 0 |	1 | 1 | 1 | 0  |  0   |    1     |      1
	0 |	1 |	0 | 1 | 0 | 1  |  0   |    1     |      0
	0 | 1 |	1 | 1 | 0 | 0  |  0   |    1     |      1
	1 |	0 |	0 | 0 | 1 | 1  |  1   |    0     |      0
	1 |	0 |	1 | 0 | 1 | 0  |  1   |    0     |      0
	1 |	1 |	0 | 0 | 0 | 1  |  1   |    0     |      0
	1 |	1 |	1 | 0 | 0 | 0  |  0   |    1     |      1

d.) ( x . y )' . z

    x | y | z | x'| y'| z' | x . y |( x . y )'|   ( x . y )' . z
	0 |	0 |	0 | 1 | 1 | 1  |  0   |     1     |      0
	0 | 0 |	1 | 1 | 1 | 0  |  0   |     1     |      1
	0 |	1 |	0 | 1 | 0 | 1  |  0   |     1     |      0
	0 | 1 |	1 | 1 | 0 | 0  |  0   |     1     |      1
	1 |	0 |	0 | 0 | 1 | 1  |  0   |     1     |      0
	1 |	0 |	1 | 0 | 1 | 0  |  0   |     1     |      1
	1 |	1 |	0 | 0 | 0 | 1  |  1   |     0     |      0
	1 |	1 |	1 | 0 | 0 | 0  |  1   |     0     |      0

e.) ( x' + y ) . ( y + z)

    x | y | z | x'| y'| z' | x' + y| ( y + z)  | ( x' + y ) . ( y + z)
	0 |	0 |	0 | 1 | 1 | 1  |   1   |     0     |      0
	0 | 0 |	1 | 1 | 1 | 0  |   1   |     1     |      1
	0 |	1 |	0 | 1 | 0 | 1  |   1   |     1     |      1
	0 | 1 |	1 | 1 | 0 | 0  |   1   |     1     |      1
	1 |	0 |	0 | 0 | 1 | 1  |   0   |     0     |      0
	1 |	0 |	1 | 0 | 1 | 0  |   0   |     1     |      0
	1 |	1 |	0 | 0 | 0 | 1  |   1   |     1     |      1
	1 |	1 |	1 | 0 | 0 | 0  |   1   |     1     |      1

