810862 - Vitor Lucio de Oliveira

Guia 04-3)

a) f (x,y,z) = ∑ m ( 2, 3, 6, 7 )
   
  m  | x | y | z | x'| y'| z'|Mintermos| SoP (2,3,6,7)  |
  0  | 0 | 0 | 0 | 1 | 1 | 1 | x'.y'.z'|       0        |        
  1  | 0 | 0 | 1 | 1 | 1 | 0 | x'.y'.z |       0        |                     
  2  | 0 | 1 | 0 | 1 | 0 | 1 | x'.y.z' |       1        |
  3  | 0 | 1 | 1 | 1 | 0 | 0 | x'.y.z  |       1        |
  4  | 1 | 0 | 0 | 0 | 1 | 1 | x.y'.z' |       0        |
  5  | 1 | 0 | 1 | 0 | 1 | 0 | x.y'.z  |       0        |                   
  6  | 1 | 1 | 0 | 0 | 0 | 1 | x.y.z'  |       1        |                 
  7  | 1 | 1 | 1 | 0 | 0 | 0 | x.y.z   |       1        |    


b) f (x,y,z) = ∑ m ( 1, 3, 4, 5 )

  m  | x | y | z | x'| y'| z'|Mintermos| SoP (1,3,4,5)  |
  0  | 0 | 0 | 0 | 1 | 1 | 1 | x'.y'.z'|       0        |        
  1  | 0 | 0 | 1 | 1 | 1 | 0 | x'.y'.z |       1        |                     
  2  | 0 | 1 | 0 | 1 | 0 | 1 | x'.y.z' |       0        |
  3  | 0 | 1 | 1 | 1 | 0 | 0 | x'.y.z  |       1        |
  4  | 1 | 0 | 0 | 0 | 1 | 1 | x.y'.z' |       1        |
  5  | 1 | 0 | 1 | 0 | 1 | 0 | x.y'.z  |       1        |                   
  6  | 1 | 1 | 0 | 0 | 0 | 1 | x.y.z'  |       0        |                 
  7  | 1 | 1 | 1 | 0 | 0 | 0 | x.y.z   |       0        |    


c) f (x,y,w,z) = ∑ m ( 1, 2, 5, 7, 9, 12, 13 )

  m  | x | y | z | w  | x'| y'| z'| w' | Mintermos  | SoP (1,2,5,7,9,12,13)    | 
  0  | 0 | 0 | 0 | 1  | 1 | 1 | 1 | 0  |  x'.y'.z'.w|       0                  |    
  1  | 0 | 0 | 1 | 1  | 1 | 1 | 0 | 0  |  x'.y'.z .w|       1                  |
  2  | 0 | 1 | 0 | 0  | 1 | 0 | 1 | 1  |  x'.y.z'.w |       1                  |
  3  | 0 | 0 | 1 | 0  | 1 | 0 | 0 | 1  |  x'.y.z .w |       0                  |
  4  | 0 | 1 | 0 | 0  | 0 | 1 | 1 | 1  |  x.y'.z'.w |       0                  |
  5  | 1 | 1 | 1 | 1  | 0 | 1 | 0 | 0  |  x.y'.z .w |       1                  |
  6  | 1 | 1 | 0 | 1  | 0 | 0 | 1 | 0  |  x.y.z'.w  |       0                  |  
  7  | 1 | 1 | 1 | 1  | 0 | 0 | 0 | 0  |  x.y.z .w  |       1                  |  
  8  | 1 | 0 |   | 0  |   |   |   |    |            |       0                  |
  9  | 1 | 0 |   | 0  |   |   |   |    |            |       1                  |
 10  | 1 | 0 |   | 0  |   |   |   |    |            |       0                  |
 11  | 1 | 0 |   | 1  |   |   |   |    |            |       0                  |
 12  | 1 | 1 |   | 1  |   |   |   |    |            |       1                  |
 13  | 1 | 1 |   | 1  |   |   |   |    |            |       1                  |
 14  | 1 | 1 |   | 0  |   |   |   |    |            |       0                  |
 15  | 1 | 1 |   | 0  |   |   |   |    |            |       0                  |


d) f (x,y,w,z) = ∑ m ( 0, 2, 5, 7, 9, 10, 12 )
  m  | x | y | z | w  | x'| y'| z'| w' | Mintermos  | SoP (0,2,5,7,9,10,12)    | 
  0  | 0 | 0 | 0 | 0  | 1 | 1 | 1 | 1  |  x'.y'.z'.w|       1                  |    
  1  | 0 | 0 | 1 | 1  | 1 | 1 | 0 | 0  |  x'.y'.z .w|       0                  |
  2  | 0 | 1 | 0 | 1  | 1 | 0 | 1 | 0  |  x'.y.z'.w |       1                  |
  3  | 0 | 0 | 1 | 0  | 1 | 0 | 0 | 1  |  x'.y.z .w |       0                  |
  4  | 0 | 1 | 0 | 0  | 0 | 1 | 1 | 1  |  x.y'.z'.w |       0                  |
  5  | 1 | 1 | 1 | 1  | 0 | 1 | 0 | 0  |  x.y'.z .w |       1                  |
  6  | 1 | 1 | 0 | 1  | 0 | 0 | 1 | 0  |  x.y.z'.w  |       0                  |  
  7  | 1 | 1 | 1 | 1  | 0 | 0 | 0 | 0  |  x.y.z .w  |       1                  |  
  8  | 1 | 0 |   | 0  |   |   |   |    |            |       0                  |
  9  | 1 | 0 |   | 0  |   |   |   |    |            |       1                  |
 10  | 1 | 0 |   | 0  |   |   |   |    |            |       1                  |
 11  | 1 | 0 |   | 1  |   |   |   |    |            |       1                  |
 12  | 1 | 1 |   | 1  |   |   |   |    |            |       0                  |
 13  | 1 | 1 |   | 1  |   |   |   |    |            |       0                  |
 14  | 1 | 1 |   | 0  |   |   |   |    |            |       0                  |
 15  | 1 | 1 |   | 0  |   |   |   |    |            |       0                  |

e) f (x,y,w,z) = ∑ m ( 1, 2, 3, 5, 7, 11 )

